Author,Location,Date,Comments,Rating
Mark,"Blairsville, GA","Reviewed Sept. 6, 2021",Rocket Mortgage has made the refi process simple. We submitted a few minor details and paperwork and they updated me every step to identify what I needed to do and what they were working on. I was able to schedule my closing and the location at my convenience.,5
Gary,"Winder, GA","Reviewed Sept. 5, 2021",Ms. Joy ** did a tremendous job orchestrating our refinance… Her customer service was second to none. She kept us informed on material we need and the time frame of each process. I highly recommend her to family and friends… Ms. Joy needs to teach customer service etiquette to everyone in Rocket Mortgage Organization.,5
Alba,"Middletown, CT","Reviewed Sept. 5, 2021","We were able to do everything through email, and for us that was more than convenient. When it was time to close the attorney visit us home and we got copy of the sign papers in less than a week. They were helpful, attentive and didn't mind answer all our questions. For us that was a plus after a few bad experiences. From beginning to end they were there and in a fast pace manner. Thanks to all the people involved in this. You guys definitely ROCK...",5
Schendy,"Milton, MA","Reviewed Sept. 4, 2021","This was our second time refinancing and it took over 3 months. The process was extremely frustrating. We had multiple individuals working on our account and they were delivering mixed messages. One person would tell us one thing and the next day the contrary was relayed back to us. A lot of times, we had to call to make sure that the latest information was received and processed properly. It was an extremely frustrating and sloooow process.",2
Richard,"Snellville, GA","Reviewed Sept. 2, 2021",My refinancing experience was tremendous & handled very well by the Quicken Loans staff. They made the process very easy; as it was our 1st time refinancing. They walked us through the entire process. I would like to send a special shoutout to Spencer **. He called me every 2 to 3 days to make sure everything was working smooth for us. I would recommend Quicken Loans to all my family & friends looking to refinance their home. Thanks Quicken!,5
Lindsay,"Lawrenceville, NJ","Reviewed Sept. 1, 2021","The refinance process was relatively easy, but the fees were a little to high. Very good customer service in general. Agent did a good job of explaining the fees. The closing process was very efficient. Overall satisfied with the process.",3
Vilma,"Randolph, MA","Reviewed Sept. 1, 2021","Without a doubt, Rocket Mortgage company is the best! I had my original and refinanced mortgages with Rocket and they have been extremely professional and helpful. They work quickly and I do everything from the comfort of my home. You can go wrong with Rocket Mortgage!",5
Gregory,"Adrian, MI","Reviewed Aug. 31, 2021",My experience was Good. Chris was very good in what he does and very professional. He then turned me over to Eric and I was also satisfied with his professionalism and helpful work. Overall I was satisfied with the process but I am not very adept at computers or what my cell phone can do. Both helped me through the process and we accomplished my loan.,4
Creston,"Albuquerque, NM","Reviewed Aug. 30, 2021","I found out that you didn't take out enough to cover property taxes, so now my monthly payments are $200 more than you estimated. This seems like a very basic part of the closing process that was missed and is very misleading to the consumer.",1
Daniel,"Boone, NC","Reviewed Aug. 30, 2021","I responded to every request within 48 hours. The market is driving appraisal delays at no fault to the lender but there was no proactive communication or re-setting of timing expectations. More critically, I have signed docs 4 times now and despite being 3 weeks past the first signing the loan isn’t closed. Much more to add.",1
Jay,"Hillsboro, IA","Reviewed Aug. 29, 2021",The whole experience with Rocket Mortgage was amazing. It was so easy to fill out the application online. The customer service was amazing. They worked with me on times to call since I work late. Would definitely recommend them to anyone wanting to refinance their house.,5
Charles,"Dayton, OH","Reviewed Aug. 29, 2021","I knew nothing about mortgages or home buying before working with Rocket Mortgage. While I may not know *everything* now, I gained a wealth of knowledge through the mortgage process from each person I was in contact with. Every person that was a part of my mortgage process was friendly, knowledgeable, genuine, and kept in regular contact with me. I never felt like I was figuring things out alone and any questions I had were answered fully and promptly. I also found the website and app extremely useful so I could keep up with all of the documents and tasks required for my mortgage from anywhere and while on the go. I would recommend Rocket Mortgage to anyone and everyone.",5
Nicole,"Locust Grove, GA","Reviewed Aug. 27, 2021","The process to get preapproved was easy. Uploading the documents to the app was a breeze. It took a little longer than expected to close which stressed me out. I never really talked to my loan guy but once. Maybe I was talking to his team? I don’t know. I contacted them with an issue about my employment verification on a Monday and on Friday they still had not corrected the problem. That was a mess. I had to call over and over again for them to get the verification right. The appraisal wasn’t done right the first time and so I had to take off from work to meet the appraiser, again. And even after that, the appraisal still was missing key details. So, we had to wait on Amrock to get the appraisal fixed. That was a mess. I do enjoy the app on my phone though. That’s a plus! I’m just glad it is over. As long as nothing happens to the phone app, I’ll be good.",3
Raphael,"Fayetteville, NC","Reviewed Aug. 26, 2021",My refinance through Rocket Mortgage was pretty seamless and quick and easy.. The rate was locked in early and it went smoothly.. I would recommend them for a refinance or a mortgage as well.. I enjoyed the process and may do it again in the future.,5
Cheryl,"Hollywood, MD","Reviewed Aug. 26, 2021",Fast and easy. Everyone I dealt with was pleasant and knowledgeable. I was walked through the process and when someone told me something would be done it was and in a timely manner. I would recommend Rocket Mortgage to friends and family.,5
Courtney,"North Fort Myers, FL","Reviewed Aug. 26, 2021","Was an easy, hassle-free, experience. This is my second time using Rocket Mortgage, and I have had the same awesome results both times. The only thing was the second time with my refinance took a little longer than expected, but we can thank Covid for that.",5
Brad,"Colton, CA","Reviewed Aug. 26, 2021",Exceptional service. Tried to refinance with the current lien holder and they kept dragging their feet for several month. Went with Rocket Mortgage and closed in 30 Days!! I have would highly recommend Rocket Mortgage to anybody looking at a purchase or refi.,5
Jamil,"Brandon, FL","Reviewed Aug. 26, 2021","I have used Rocket/Quicken Mortgage company for my mortgage needs for the last 15 years and I am very happy with their customer service, speed of closing on a loan and easy to use web portal. I would recommend Rocket mortgage to any new or existing home buyers",5
Brent,"Riverton, UT","Reviewed Aug. 26, 2021","You had a hard time getting the numbers right. They were not corrected until 30 minutes before closing. It appears that is a tactic to mess with clients by waiting to the last minute so when the client looks over the numbers they will miss something because of the time crunch. I feel as though you did not give me all of the credits that I had coming to me, but I did not have the time to completely examine the documents. You had to appraise the property two times because you ordered the wrong appraisal the first time and you charged me for both appraisals. What I suspect is that you added the cost for the wrong appraisal back in somewhere. The difference between the totals from the incorrect numbers and the correct numbers should have been somewhere around $700 but it was $500. I could not immediately see where the difference was, so I could not object.More",1
Rena,"Logan, UT","Reviewed Aug. 26, 2021","Started on 7 Jul and with a few customer created glitches, we weathered the storm together. They have the most awesome staff, including Dana **, who were with us every moment of the day. The instructions for what we had to do and NOT do were very clear. Smooth sailing along the way. Thank you Rocket Mortgage for making our refi virtually painless.",5
Matthew,"Scottsdale, AZ","Reviewed Aug. 26, 2021","There are many words to use to describe our experience. One would be - Incredible!! Kevin and Rocket Mortgage team were outstanding. From start to finish everyone was Professional, Clear, and attention to detail. Always on top of things and always knowledgeable. Thank you so much.",5
Scott,"Wall, NJ","Reviewed Aug. 25, 2021","Once again Rocket Mortgage and my loan specialist Jordan ** made a seemingly daunting task a breeze! He helped us every step of the way and followed up thru texting, emails and call until the loan was closed. After our closing he followed up again! Thanks!",5
Jeremy,"Broken Arrow, OK","Reviewed Aug. 25, 2021",The entire refinancing process was as simple as I could possibly imagine! Thank you to Douglas and the entire team for making the process seamless. Well Done! I will definitely recommend RM to others I know who are looking to refinance. Thank you for a great experience.,5
Eva,"Riverside, CA","Reviewed Aug. 25, 2021","Great refi rate, easy to complete docs online. Sometimes unable to contact a person for assistance, but when I did speak to people they were very knowledgeable and helpful. Overall very satisfied. Recommended my daughter and she also refinanced and saved a lot with her monthly mortgage.",4
Sasha,"Eagle River, AK","Reviewed Aug. 23, 2021","Definitely a few areas of improvement are needed. For example I’ve never had a mortgage company ask for me to provide tax information for the subject property. Also, I heard for about 2 weeks that someone would contact us to set up closing and it took forever. We literally had someone call us to tell us someone else would be reaching out to schedule it. What was the point of the phone call?",4
Matthew,"Grangeville, ID","Reviewed Aug. 23, 2021","We worked with Bill ** and he was very knowledgeable and very accommodating. He answered all our questions promptly and responded to my emails. Even while he was on vacation, he had responsible agents that handled matters courteously. Other than the time that it took to close the transaction (not due to Rocket's control) our experience was professional and exemplary. We are looking forward to possible future business with another real estate purchase.",5
David,"Azle, TX","Reviewed Aug. 23, 2021",My wife and I worked with Charles on getting a loan for a newly built home. Once the plans for the built home fell apart Charles helped us get a new home and we purchased another home. Charles was helpful in so many way and helped what was a wonder outcome.,5
Beth,"Massillon, OH","Reviewed Aug. 21, 2021","From the online application process thru closing the staff at Rocket Mortgage Kept me in the loop and communicated well! It was easy to upload and download documents. The closing expectations were communicated well as they changed. Overall,, it was a smooth process.",5
Lyn,"Franklinville, NJ","Reviewed Aug. 21, 2021","Relatively quick and easy, I would recommend Rocket Mortgage. About 6 weeks from application to settlement. Very upfront with every step. The initial contact, Kyle, was extremely helpful and friendly. The closing was 95% virtual. The closing agent was very friendly and was in and out of my house within a half hour.",5
Michael,"Land O Lakes, FL","Reviewed Aug. 21, 2021","So from the beginning, refinance took too long. Was supposed to close beginning of July. That fell through due to your underwriters wanting a document that the finance company for the newly installed solar panels didn't exist. We wasted probably 1.5 weeks on asking 3 different ways for the same thing when that document that didn't exist despite being told the only thing related to a foreclosure situation was in the event of default section of the agreement. That was the first issue more the smaller of the two. Now this is the part that myself and your own banker had issues with. So this all started around mid July. Cory alerted me that I could take out my escrow from my previous mortgage instead of netting it in. I said let's do that, and Cory got the everything updated. So all is good right? NOOPPPEEE.More",1
Joseph,"The Villages, FL","Reviewed Aug. 20, 2021","Rocket Mortgage came through on a VA loan refinance. We had to wait for completion of a construction project underway, but Rocket kept our low rate and got us through the delays. Everyone we talked to and dealt with was very helpful and very easy to deal with.",5
James,"Redlands, CA","Reviewed Aug. 20, 2021","Ok rates but sub-par customer service. If you are in a dire situation and no other lender is available you may not have a choice. If you have a service issue, plan on calling 12 different times, speaking with 12 different reps., & being transferred to someone else who will apologize for the inaccurate and/or incomplete info. provided by the others.",3
Christina,"Fishers, IN","Reviewed Aug. 20, 2021",We refinanced with Rocket Mortgage and had a great experience. It was an extremely easy process. The portal made everything transparent so I always knew what was happening throughout the process. Submitting documents through the portal also made it easy to upload documents they needed from me. Extremely pleased with their services.,5
Donna,"Rockford, IL","Reviewed Aug. 20, 2021",From the beginning I was upfront about sale of my car. The stress of reexplaining this providing payoff letter Check stub that paid it and had to go so far as to ask buyer to provide their loan docs to prove they bought it and even after that more requests for proof.,1
Ana,"Manahawkin, NJ","Reviewed Aug. 19, 2021","Great app, digital engagement on point, user friendly, convenient and efficient. The process was quick and everyone that assisted me was friendly, knowledgeable and courteous. I do highly recommend Rocket Mortgage because of the above mentioned experience and this wasn’t a first time experience. I’ve done several mortgages with Quicken now Rocket and with every experience it has improved even better each time.",5
Jon,"Vieques, PR","Reviewed Aug. 19, 2021","Simple: 790 credit score, never late in 45 years, No debit other than a truck payment, two paid off houses, over 400k income per year and over 6 million in assets. Asked for 1.2 million on a home, wasted my time for a week after they received all my documents. Was turned down because my income dropped by 20% during last year (Covid). Said was new government regulation. But the government will take my 140k taxes per year and give them away to people that show no income. This country is on a backslid we will never recover from. Time to start using private lenders.",1
Karen,"Youngstown, OH","Reviewed Aug. 19, 2021","Was very satisfied with each representative, very prompt and courteous! All questions were answered specifically and in detail. If I had concerns it was addressed accordingly! Especially when I didn't understand they provided adequately and with patience. Thank you for your kindness and helpful answers.",5
Darren,"Roseville, CA","Reviewed Aug. 19, 2021","The process was quick, simple, easy and very very fast. I was in underwriting within a day of supplying all my documents. In fact it was the same day I called my current lender and they didn’t even call me back the same day. Your team had already had me in review. You guys did awesome job, appreciate it was simple and easy and if I ever need another loan or a refinance I’m coming back to you guys. Thanks thanks.",5
Jeff,"Marietta, GA","Reviewed Aug. 19, 2021","Obtaining a mortgage loan and being guided through the process was exactly what I needed and hoped for, but was not what I experienced from just speaking with other mortgage lending companies. My banker was so informative and helpful and went beyond what I'd expected. The process was straightforward, and I never felt like I was being cheated or raked over the coals with extra or hidden fees.",5
Jamie,"Portland, TX","Reviewed Aug. 18, 2021","We had a great experience! We started a refinance with our bank & they set us up with a third party mortgage company. They drag their feet & led us on for 4 weeks. A friend of mine (Kent **, Portland TX recently bought a house) recommended Rocket Mortgage. We got more done in 1 day than we did with the other place in 1 month. Thank you so much.Jamie **",5
James,"Millville, NJ","Reviewed Aug. 18, 2021",Experience was smooth and awesome and loan officer was the best from beginning to end. Thanks Rocket Mortgage!! Closing went very well and moving in and signing final closing documents. Only had issues with refrigerator. It doesn't stay cold and I wasted over $400.00 in groceries.,4
Stacey M.,"Mechanicsville, VA","Reviewed Aug. 18, 2021","Refinance options with Rocket are amazing. Easy to see if you qualify and terms that are fair and beneficial. From application to closing, we were very please with this process. We even closed in the comfort of our own home.",5
Devi,"Norwalk, CT","Reviewed Aug. 18, 2021",Rocket Mortgage was efficient and quick to process our refinance. I would definitely recommend! Their customer representatives were quick to respond and they were very knowledgeable about the options available. The interest rate that was offered too was competitive. Thank you!,5
Arian,"Charlotte, NC","Reviewed Aug. 18, 2021",Process was slow and confusing and it is almost three weeks after closing and still waiting on the process to come to a conclusion. Have not received the funds for cash out refi. The process should not have came to this point and I am still waiting as I write this.,2
Scott,"Avon, IN","Reviewed Aug. 17, 2021","Follow up on concerns was a bit lacking. As if, once the mortgage closing was inevitable, the extra effort was just not there; whereas, up to that point, I was made to feel valued, but just another customer after that.",3
Angela,"Pearland, TX","Reviewed Aug. 17, 2021",Everyone was awesome. Chloe ** was very knowledgeable. Margo at closing was awesome. Ryan was very helpful. I would definitely recommend Rocket Mortgage to all my friends. Even using the chat when I log into my account was easy to follow and everyone was knowledgeable and helpful.,5
Rachel,"Mcdonough, GA","Reviewed Aug. 16, 2021","The communication should have been better. We were told numerous times that we would not have to pay a month's mortgage payment when refinancing, but neglected to tell us that the accounts would be different and that we would not have the same account and therefore needed to stop all payments. Not a single person said that. So, they took the payment we were not expecting, and was told it would be returned in 10 days....still waiting on my money to be returned. You never have to wait for my mortgage to be paid, but we have to wait and wait for our money that doesn't belong to you to be sent back? Hmmm.",1
Tanya,"Washington, DC","Reviewed Aug. 15, 2021","From start to finish my experience with Rocket Mortgage was terrific. Communications were clear. My questions were answered in a timely fashion. My Banker, Treasure ** was outstanding and got the process off to a great start. Overall I went into this experience feeling a bit overwhelmed and daunted and the entire Rocket Mortgage team made it a simple, clear and positive refinancing experience.",5
James,"Hubert, NC","Reviewed Aug. 15, 2021",The whole process was very smooth and a lot easier than I expected. The mortgage person assigned to me was very helpful and personable. The website is very easy to use also. I would definitely recommend Rocket Mortgage to a friend or family member.,5
Michael,"West Hartford, CT","Reviewed Aug. 14, 2021","I thought buying a house would be stressful, but the team at Rocket Mortgage made it really straightforward. Our mortgage officer Amanda ** (sp?) was wonderful to work with and always quick to answer what questions I had. The website was extremely helpful and made keeping on top of the various tasks easy.",5
Wanessa,"Semmes, AL","Reviewed Aug. 13, 2021","Over all I think I had a great time especially in the beginning, towards the end there was a lot of confusion as to what was needed from me and at one point if my account was still in effect. I was asked to provide information from my current lender that no lender ever gives out. We went round and round with this until I just threw my hands up and said maybe we can’t get it done. The whole experience took 2 months which I found very stressful.",3
Bryan,"Chalfont, PA","Reviewed Aug. 13, 2021",The entire process with Rocket Mortgage went perfect! Every person I dealt with from Anthony to Dominique was professional and smooth. They did an awesome job. The rates were more competitive than the typical brokers! They took great care of me. I recommend Rocket Mortgage to everyone I know.,5
Tamara,"Heber City, UT","Reviewed Aug. 12, 2021","Rocket Mortgage did not ask if my home title was in an LLC or Living Trust before we went through the entire process. I only found out at the very end after applying, giving a credit report approval (which lowers my credit score when they check), uploading a ton of documents and meeting an appraiser that they would not underwrite my loan unless I change the title to my name. I paid an attorney to set up my titles according to financial planning needs and it is silly to change the title name and then change it back after a mortgage has been given. My advice is to ask first about the rules regarding LLC and Living Trust titles before you get too far down the road because they won't tell you until the very end after they have taken up a bunch of your time.",1
Davanan,"Kingsland, GA","Reviewed Aug. 12, 2021","Per the subject header, I endeavored to purchase my first home during pandemic leveraging my VA loan benefit and was unsure of what to expect during process. Although I did a fair amount of due diligence, there were inevitably hurdles which arose that I had to clear; fortunately, my mortgage officer, Travis ** (and his team), were an absolute pleasure to work with during this time. They were forthcoming, patient, timely, professional, and personable. Each step along the way, I was provided clear guidance with what to expect, which made my online purchase of a home a seamless experience. I was told by many that due to current market conditions, buying a home was going to be a challenge - to say the least. To make things more interesting, I lived in Maryland and was purchasing in Florida or Georgia. Travis and team were not deterred; he said let’s go for it.More",5
James,"Manteca, CA","Reviewed Aug. 12, 2021","My experience with Rocket Mortgage was outstanding!!!! I am not sure if it was because I was a Rocket Mortgage Client or their customer service is top notch, either way, this past experience as well as all of my experiences have truly been outstanding!!! I wish more companies would get back to delivering great service again.... You all have truly set the bar sky high. I look forward to using you again in the future....",5
Antonio,"Charlotte, NC","Reviewed Aug. 11, 2021","From the first click through closing, this has been the ""BEST"" experience in my 30 years buying and selling several homes. The knowledge, follow up, clear concise direction and answers to questions were superb. I definitely would like to call out Justin ** and (I cannot find the name at the moment) who followed up on documentation, every touchpoint, and every person from Rocket Mortgage were confident and very knowledgeable - I remained highly confident reinforcing the feeling of a true partnership to a successful closing.",5
Amy,"Grand Blanc, MI","Reviewed Aug. 11, 2021","Chose Rocket Mortgage after a conversation with Sales Rep. Gerald. Since then, the process has been slow and disorganized. Months later, we still haven't closed, in spite of quick turnarounds on our end (requests for documents, etc.). Very hard to get questions answered in such a large company. ""I don't have that information"" is a common response. Too, the lending documents continue to change with ever-increasing numbers in the closing cost category. Wish we'd chosen a smaller company with personal representation.",1
Pamela,"Cooper City, FL","Reviewed Aug. 11, 2021","The experience was very positive. I had working on refinancing my home mortgage for several months with other companies, both were unsuccessful. From the moment I contacted Rocket Mortgage, the closing occurred approximately one month later. All parties during every step were very helpful and professional.",5
Tina,"Montgomery, IL","Reviewed Aug. 10, 2021",Cody was awesome to work with!! He took the time to answer all of our questions. The whole process was so easy and was fully complete in about a month. The app was easy to track our progress and complete our tasks.,5
Jerry,"Montgomery, TX","Reviewed Aug. 10, 2021","Best experience ever, no complaints about anything, Nikki my contact was the best ever, I would give her 100 stars. if I ever do another mortgage Rocket Mortgage will be the only company I will talk to. We were able to close in under 3 weeks, which according to my real estate agent is unheard of.",5
Michael,"Fillmore, IN","Reviewed Aug. 9, 2021","I was contacted by Rocket to let me know they may be able to help reduce my interest rate on my loan. All information asked for was quick and to the point and I was able to do it all over the phone. Closing happened very shortly after loan approval and the closing took place in my home, which was great. A+ all the way. You will have my business in the future and you will be highly recommend to anyone who is looking for a purchase or a refinance. Thanks for watching out for me and my wife.",5
Kaye,"Monroe, GA","Reviewed Aug. 9, 2021",Thank you for a easy experience. We appreciated the efficiency & the quick turnaround. Very easy from start to finish. Questions answered & if not someone got back to us quickly. You made us feel like we were not dumb & felt appreciated.,5
Trina,"Pearland, TX","Reviewed Aug. 8, 2021",Our mortgage application team was fantastic! They were always available and helped us with any questions we had had about the process. The dashboard was user friendly and we always knew what we needed to submit. We would recommend Rocket Mortgage to anyone!,5
Sarah,"Lockport, IL","Reviewed Aug. 5, 2021","For our first mortgage refi, incentives & lender credits dropped off, would have lost if I didn't fight for them. For our 2nd home, that was better but took almost 6 weeks to get appraisal completed. Everyone I worked with however was great and worked to help me out.",3
Bruce,"Oxford, CT","Reviewed Aug. 5, 2021","Overall very good but the rate and terms seemed to change frequently. It felt a bit like ""bait & switch."" (Went from 2.25% to 2.99%.) I know that's not the case, but that's how it felt. The closing instructions were somewhat confusing. I was told verbally to complete various forms electronically before the closing agent arrived. However, that was not the case. Indeed, we completed them all again once he arrived. It was not difficult. It was smooth but didn't match the expectation. I would recommend Rocket Mortgage again with the above cautions.",4
Dan,"Corolla, NC","Reviewed Aug. 3, 2021",My banker was very good. Client Relations were average and underwriting and closing was poor. This simple refinancing with you as original lender took over 56 days. You had appraisal in plenty of time. This refinancing should have taken 30 days at maximum.,3
Linda,"Sulphur Springs, TX","Reviewed Aug. 2, 2021",Everyone was nice and happy anytime we called in. In the beginning we thought the loan would have been faster. It took four months for the loan go through. Yes we will encourage people to visit Quicken Loans if they are looking for a loan. Thanks.,3
Amber,"Olive Branch, MS","Reviewed July 31, 2021",Excellent and prompt service. The process with closing was very quick and convenient and flexible with our work schedules. We would highly recommend this company to our friends. We appreciate the advice and guidance of the mortgage company as well.,5
Kim,"Hawthorne, NJ","Reviewed July 31, 2021","Rocket/Quicken was recommended to me by several coworkers after an attempted TDBank refinance didn’t close after SEVEN MONTHS with the lender admitting the delay was all with them. Rocket closed us in less than 2 weeks. Online interactions very easy and their customer service was great - never an issue getting a live person, which is such a challenge these days.",5
Shawn,"Richmond, CA","Reviewed July 31, 2021","Everything started off fine. Since I was a previous client, the banker was able to access most of my existing info and get the loan application moving along quickly. He instilled confidence that we would be able to close in time and things would be expedited if necessary. All was well. Then the “assembly line” moved to the next person, and then another. Rather than have a trusting relationship with one person, I got shuffled around in a seemingly high-tech system that appeared well designed but then fell apart and almost scuttled my new home purchase.More",2
Shelley,"Pekin, IL","Reviewed July 31, 2021","Loved working with the entire team from start to finish of mortgage! Very knowledgeable, fast and professional! Their customer care is outstanding! Never had to wait long for answers. Their portal is very user friendly and is a wealth of information! Highly recommend!",5
Tristan,"Las Vegas, NV","Reviewed July 30, 2021","Honestly, in the beginning there was a mistake made by the home inspector that caused some complications but it was resolved. Other than that my experience was great and I have recently referred others to Rocket Mortgage, because I know they'll be taken care of also.",4
Dawn,"Fort Lauderdale, FL","Reviewed July 30, 2021","WOW! HORRIBLE! Rocket Mortgage/Quicken Loans hires inexperienced staff (mine was Julie **-likely a made-up name) who merely fill in blanks. Horrific customer service, no knowledge of flood insurance… and DO NOT take any calls for refi. Stay far, far away from this lender. I’m paying off my loan tomorrow and will refi elsewhere! STAY AWAY!",1
Misti,"Lampasas, TX","Reviewed July 30, 2021",I would recommend Matt ** and the Rocket team to most anyone. The experience and process were simple and he was always helpful. The only frustrations I had were all with AMROCK and unfortunately would probably prevent me from referring anyone if they have to utilize the sister company as well.,4
Scott,"Newberry, SC","Reviewed July 30, 2021","Whether intentionally or not, the person we worked with on our loan indicated that by making two loan payments a month instead of just one, we could reduce the payoff period from 30 years to around 16. Before signing the loan documentation, we asked for clarification on this and were sent an Excel spreadsheet that seemed to show the same thing. We took out the loan.More",2
Tamera,"Bay Minette, AL","Reviewed July 30, 2021","This is our 3rd or 4th time doing some sort of finance or refinance with Quicken and it did not disappoint. It is always a good experience. Amir did a great job! In fact, I recommended him to my parents. So far, they like him and said he’s been very helpful.",5
Wayne,"Waxhaw, NC","Reviewed July 29, 2021","Was much better than previous refinances I've had with other companies. Wife and I were very pleased. Having the ability to do everything online was great, especially during COVID. The whole thing from start to finish only took 30 days. Great job, would recommend and use again.",4
Carol,"Salem, SC","Reviewed July 29, 2021",The entire process went as it should. We have a couple bumps but they were resolved. Everyone involved did a good job. We extended the process for 2 months which I feel had we closed sooner it would have been better. Seller would not allow us to close until June 28.,5
Marcus,"Van Buren Twp, MI","Reviewed July 28, 2021","Brady ** was great from the first day we discussed our Refi, he made it so easy from signing Doc to the Closing process. The entire Team was great, I have recommended family & friends to Rocket. Amrock Title Company made it so convenient coming to our home for the Closing.",5
Nelson,"Aberdeen, NJ","Reviewed July 28, 2021",Easy communication. Kept me in the loop on progress. Questions / concerns addressed quickly. Details/ Summary provided as needed. People were friendly & professional. Process was explained so that even I could understand. Required documents easy to provide & upload. Set up a convenient location for closing.,4
John,"Clovis, CA","Reviewed July 27, 2021","This is my 3rd refinance through Rocket (Quicken). Each one was more streamlined than the last. This last one was smooth and seamless. It involved way more of the process being done online beforehand and less on signing day. I shouldn’t need another refinance, but if I do I will use you again.",5
K,"Jacksonville, FL","Reviewed July 26, 2021","Went for a refinance. Was PROMISED $2,144 for closing. We were sent two sets of ppwk showing ALL incorrect loan number information. Tried several times to contact Nick, no further communication after initial set up. Called in to complain and was then PROMISED $1,650 for closing. And was told all would change at closer to closing. Changed alright!!! Rocket Mortgage pushed the closing cost up to $4,812, AND NO communication. This whole process has been dishonest, underhanded and a waste of time.",1
Diane,"Martinsburg, WV","Reviewed July 25, 2021","I highly recommend Quicken/Rocket Loans. The loan process was simple, easy and fast! We didn’t need an appraisal and we were closed within 3 weeks. The mortgage originator, Noah, was spot on with his numbers! I have already recommended Quicken/Rocket loans to my friends and family!",5
Vincent,"Holtsville, NY","Reviewed July 25, 2021",Too many different people involved in the process. They should let you know how many different people are involved and how many different departments you will have to deal with. I had to sign my loan documents 3 times because they didn’t have the list of people that needed to be there done properly. Then they couldn’t find the original mortgage paperwork. Disappointing.,3
Sabina,"Kansas City, KS","Reviewed July 24, 2021","My experience went very smooth and easy. Everyone was very friendly, patient and helpful. They answered any questions I had and assisted me through the entire process. Thank you again Quicken Loans. I appreciate you all.",5
Arlene,"Orlando, FL","Reviewed July 23, 2021","I never applied but I was offered refinancing, this experience was not very good, a lot of miscommunication and the moment I have agreed to the refinancing I was left in limbo, not a very good thing to just keep asking the representatives, because they say different thing and if you don't read and research it yourself you end up hanging. If not for the delay team Mr Noah G. who has been very helpful to process my closing. Couple of reps when I called was not very helpful at all. I would not want to go through this kind of experience again in the future.",1
Jonathan,"Cypress, TX","Reviewed July 21, 2021",Rocket Mortgage was smooth and painless. Got us the rate we were looking for and closed extremely fast. Vey streamlined. I have already recommended rocket mortgage to a few neighbors and they are already in the process of refinancing. Everyone is very pleased.,5
Nancy,"Ankeny, IA","Reviewed July 20, 2021",My experience with Rocket Mortgage was fantastic! This was my third experience in either a new mortgage or refinancing my home. I will NEVER EVER use another mortgage lender. Rocket Mortgage/Quicken Loans is a trustworthy company that adheres to good lending practices.,5
Vanesa,"Pawtucket, RI","Reviewed July 20, 2021","Quicken was referred to me by a family member, and I would certainly recommend to anyone. The process was smooth and easy, it was extremely convenient being able to load all of the documents online, and how the processing team communicated via text. Their responsiveness and willingness to support with any questions I had made the entire process painless. And on signing day, they had a notary come to my house, which was very convenient. My only feedback for improvement would be that sometimes I received calls or texts from other members of the team that I was not familiar with, and, since there are a lot of people working on different pieces, it felt like too many people to be in contact with sometimes.",5
computers,"Fredericksburg, VA","Reviewed July 20, 2021","I have purchased and had many home loans so I understand the process and know what questions to ask. In our case we own companies, so our mortgages is a little more complicated. Prior to unlocking our credit scores I asked them the following questions.More",1
Timothy,"Seaside, OR","Reviewed July 16, 2021",Thank you for the opportunity to share in this review. When I first attempted to apply for a refinance I filled out the information online. My first contact was Mr. ** in Arizona. He was more than helpful in answering my questions. I believe I contacted him twice and was able to give precise answers to my questions. Then there was time during the process when I needed to contact the help desk to fix a incorrect setup on a form. They fixed almost instantly. They were more than patient and courtesy.,5
Mary,"Newark, OH","Reviewed July 16, 2021",Andrew and the rest of the team was amazing! I couldn’t have done this without their support and being there every step of the way! Andrew went above and beyond any lender me or my realtor has ever seen (she’s been in the business for 15 years)!,5
William,"Burns Harbor, IN","Reviewed July 16, 2021",A very easy process made better by each person who worked on our mortgage. I thank each of them for making this one of the best opportunities that we have had in the life of our house. Even our closing was easier than getting a car!!!,5
Diane,"Cape May Court House, NJ","Reviewed July 16, 2021","From the initial inquiry to the final closing, the process was smooth and all our questions were answered promptly and clearly, helping us to ensure we were making the best decisions. We are very satisfied and have no regrets about using Rocket Mortgage for our refinance.",5
Glenn,"Westerly, RI","Reviewed July 16, 2021","I had a great experience. Everything was made easy. Communication was clear, concise, and helpful. Uploading documents was very easy, and I could log into my Rocket account and see exactly what I needed to do so that the loan stayed on schedule. Once I found my home, everybody at Rocket showed excitement and seemed genuinely happy for us. It was an excellent experience.",5
Kimberly,"Hanford, CA","Reviewed July 15, 2021","Corey was especially helpful and patient. I struggle with computers and he was very helpful. I started this process several months ago but abandoned it because of online process challenges. I'm so thankful my agent was Corey, he could not have been nicer or more helpful.",5
Greg,"Milwaukee, WI","Reviewed July 13, 2021","I started my refi with Rocket Mortgage, I filled the application and submitted all the documentation with Matilda the mortgage broker, She told me everything was fine and she had all the documentation needed. Next I got a call from Alex a loan consultation person from Quicken loans being very rude demanding more documentation or the loan will be denied. At this point I decided that I'm not going to be passed from one agent to another. A day later I got another call from Quicken loans agent asking me the same questions I was asked by the two previous agents. Rocket Mortgage or Quicken Loans make promises they can't keep and when they cant deliver you just got a ding on your credit file. Scam Scam Scam. If you can go directly to the mortgage company yourself cut out the middleman and save money.",1
