Author,Location,Date,Comments,Reviews
Jason,"Ravensdale, WA","Reviewed Aug. 8, 2020","From the very beginning in dealing with Andrew he had a smug attitude toward both myself and my wife. His tone with us was one of impatience and talking down to us as if we were incapable of understanding. I mentioned this to him twice while initially working with him, hoping it may change his approach. He was not transparent and was not honest with us from the beginning. We were looking to lock our loan in at a certain rate (we both have excellent credit) and he said he would after we sent in a bunch of paperwork and giving them $500. We were hesitant but moved forward. After we sent everything in, he told me he locked the loan in as discussed for 30 days. ",1
Lindsey,"Wetumpka, AL","Reviewed Aug. 8, 2020","We recently refinanced our home and had a great experience with Cameron **. He was very personable and helpful and we had a great experience with him! All of that changed when we started to deal with Marie **. Not only did she call my phone late at night 7:00 pm central time, she was extremely condescending. It got to the point where she would call my phone and I would hand it to my husband because I was tired of the way I was being talked to. Once we signed the papers, we needed to wire funds to finalize the loan but we were still waiting on the wiring instructions.",1
Ruben,"Edgewood, NM","Reviewed Aug. 8, 2020","I received numerous quotes and was told many times why I needed to pay more upfront, or use a non-conventional loan with PMI, or anything that would maximize their profit. I was pleasantly surprised when the AmeriSave quote, which was lowest, actually stayed low when I contacted them, and they continued to make changes during the loan process which reduced my rate and payment. They processed everything efficiently and professionally. At the end, they gave me a rate lower than I thought possible, met all of our requirements, and over delivered on cash back. They basically did the math and found the best loan possible for me, not them. They earned my trust and I will only recommend them to my friends and family in the future.",5
Norma,"Hopkins, MN","Reviewed Aug. 8, 2020","My WHOLE application process with Tom was EXCELLENT. When it got to the loan processor, it was POOR. (I will give some grace due to COVID and processor having to work from home BUT there were SEVERAL issues.) Then we get to the closer which was EXCELLENT. I'm HAPPY with final outcome.",5
Joseph,"Albuquerque, NM","Reviewed Aug. 8, 2020","I was very pleased with my Loan “Officer”, Ross **. He was very helpful, informative, and most of all patient with me and all my questions. Couldn’t have asked for anyone better. Now, the processor that was assigned to my re-fi, that was a little different story... I will keep his name anonymous. The perception I got from him is that he was very overwhelmed with his workload. If I called to ask him a question he would tell me that he had just 2 minutes to talk or he’d ask to call me back, which wouldn’t happen. I was having to help him acquire forms, for example, from my Insurance company (essentially do his job) because he was “too busy”, Just to try to complete everything so that I could get the loan to close. I also thought that it took too long (about 3 months) to close the refi from the beginning...(late March/early April to the end of June.) I would definitely recommend Ross ** as a Loan Officer.",4
Barbara,"Union, MI","Reviewed Aug. 8, 2020",The whole process was very easy and I couldn't believe how fast it went. It was all completed and done within three weeks. Our life is better knowing that we'll have our mortgage paid off sooner because we reduced it to a 15%. We had a great experience with AmeriSave and I would recommend people to try it if they are refinancing or getting a mortgage.,5
Rod,"Fresno, CA","Reviewed Aug. 8, 2020","About a year and a half ago, I got a thing in the mail that said streamline, refinance, VA refinance and no out of pocket money. Also, the interest rate was better than what I had so, I refi-ed. I did it through PennyMac who had my loan. Eight months ago, I did it again because my interest rate went down again. So this time, I knew that this would probably be the last time that I would ever refi because the interest rate was at 2.25. If it gets any lower than that, I'd be surprised. But considering I was at 3.2, I was gonna save myself quite a bit of money. ",5
Charlotte,"Arvada, CO","Reviewed Aug. 8, 2020","The people were really nice. They took everything and I sent them everything. But it seemed like I would send papers to Vaughn and then the other person would say they didn't get it. Then I had to send papers back to the other person. I don't know if it was lack of communication or the paperwork did not get sent to them. I had to resend several things, but it was okay. It was not that big a deal. The closer was fantastic. He was really personable, very friendly and very professional. I really liked him.",5
Khanh,"Springfield, VA","Reviewed Aug. 7, 2020","Amazing experience and would recommend it. Very very knowledgeable loan processor (Adam **), he took the time to answer all my questions and ran through all possible scenarios like break-even analysis for points consideration so I can make the best decision. The loan approval process is a breeze, they have a fully online and digital system to get signatures and forms processed ASAP.",5
Judi,"Atlanta, GA","Reviewed Aug. 7, 2020","Kevin from AmeriSave reached out to me after I did something on Lending Tree. He was knowledgeable, nice and set the time to teach me everything I needed to understand. Obtaining a refi from them was quick and easy. The application and underwriting process took under two weeks. I got excellent rates too.",5
Samuel,"Marana, AZ","Reviewed Aug. 7, 2020","I had to refinance, and the rate that AmeriSave gave me couldn't be beat. Everything went great with the refinancing. The online application process was easy and quick. I didn't have a lot of extra paperwork. I took care of what I needed to take care of, and it was good. The representatives were super great. Ali was super helpful. He kept us on track. He knows his business. I really liked him. There's another buddy of mine who's looking to refinance, and I asked Ali if I could send him his way because good customer service is huge for me. He was really good.",5
Carrie,"Palm Bay, FL","Reviewed Aug. 6, 2020","UPDATED 09/30/2020: This is part 2 of my original review. I had changed my rating to 4 stars, but jumped the gun, we agreed to give this company a second chance, which I'm immediately regretting. I have provided them everything they asked for, several times immediately when asked. It started out good. They promised everything would be good, and it turned out it wasn't. They had added themselves again to our insurance company, without being our actual mortgage company yet, we went as far as the receiving our closing disclosures multiple times, and they were wrong each time, which they corrected it. ",1
Byrne,"Tukwila, WA","Reviewed Aug. 6, 2020","I saw the advertisements on Facebook and I clicked on how to reduce your mortgage. Then, I got bombarded with all kinds of different companies and all of a sudden, I got hooked up with AmeriSave. I was talking with the rep on the phone and he made me go through all the way through the form to where it wanted my credit card. I said that I didn’t even know what they were gonna save for me so I stopped at that point. He sent me the proposal and after consulting with my friend who had recently done it, he said it looked good to him and he was happy with AmeriSave. So, I went ahead and paid the $500 application fee. ",5
Bret,"Nokomis, FL","Reviewed Aug. 6, 2020","When I talked to the rep, I got the information with him and I was happy with what I got from them. The rates kinda went up and then they went back down, so I called him back directly when I was ready to do it and went through him. The process was pretty simple. They have their own secure online portal that I submitted all the information from electronically and then I talked to the rep a couple times and it was a done deal. I was happy with the time and what they did.",5
Zachary,"Gilbert, AZ","Reviewed Aug. 6, 2020","I was going through several lenders, and AmeriSave was the fastest one to get back to me. Unfortunately, it wasn't super fast either. But they just got it done before anyone else. They were very helpful. The person I worked with was Midwest time and I’m Mountain Standard Time. He was up late helping me get this done and explained things very thoroughly. ",4
Jd,"Weaverville, NC","Reviewed Aug. 5, 2020",We were more than happy working on our REFI with AmeriSave Mortgage Corp. and our Loan Originator Tim ** and Processor Sara **. As seniors we needed some help doing everything online and the Company and its employees made it very easy for us! We happily closed within 32 days since our first interview by phone. We highly recommend AmeriSave.,5
Brandi,"North Ridgeville, OH","Reviewed Aug. 5, 2020",AmeriSave contacted me. I worked with them on a refinance. The process was fine and all of their reps were good. The terms were fine. I could have gone lower if I chose to buy-in but I didn't.,5
Maria,"Oxnard, CA","Reviewed Aug. 5, 2020","AmeriSave had good customer service and from the very beginning, when I spoke to the person, they caught my attention and they listened to me. They knew exactly what I needed and they said that they would be able to assist me. So, I decided to try it. The reps were all very professional and I liked the portal they had where I could go in there and I could see the process of my loan. I could also see the documents that I submitted and if I needed anything to submit. The time frame was good although mine was a little bit longer. It was a little bit more complex but through the whole process, I had someone there letting me know where they were in the process at all times.",5
Scott,"Manchester, MO","Reviewed Aug. 4, 2020","I refinanced with AmeriSave and their rep Chad was easy to work with and by far, he was the most accessible among their reps. He won my business that way. I reached out to him online and he told me what he thought the rate would be. I did a little research and found that they were the best if not right there with everybody else. I went with them for a conventional loan and gave all the documentation needed to get approved. AmeriSave's online application process was easy to use. I got one of the best rates and deals that I could have. Other people should at least check them out.",5
Daniel,"Beaver, WV","Reviewed Aug. 4, 2020","I needed to finance another home and place called Loan Depot are the biggest liars God ever put breath in. I got tied up with them and I remembered AmeriSave so I called them and they took care of me. They were great. This is my second go-around with them and I have since then, gave the number of the loan originator to my cousin because he wants to refinance his home. One of the loans was conventional and the other one was VA. The process was easy. They told me what they needed and I provided it. There was no hassle. ",5
Karen,"Rancho Cucamonga, CA","Reviewed Aug. 4, 2020","I read all the reviews and they were getting 5s and their rates were great. There were couple thousand reviews of thumbs up. So I selected them. The process was very easy. Because of the virus, everything has been so streamlined through computer and it was very quick and painless. The two women I worked with were absolutely amazing. They were very professional and very thorough, but at the same time I felt like I had known them forever. I told the woman that was doing the underwriting that I was gonna miss not talking to her because we've had such a great relationship over the phone. She was like my friend. ",5
R,"Granger, IN","Reviewed Aug. 3, 2020","This company looks fine from their website but they charge additional fees that other companies do not, like to start the loan application and pressure you into completing their initial process to get their $500 initial fee and then juggle you to another person that then does finish your application. I regret ever doing business with this company and their pressure tactics to get you started and then sit on their hands.",1
Bob,"Denton, TX","Reviewed Aug. 3, 2020","Had a great experience with everyone at Amerisave. The process was easy and I was kept informed as the process played out. The customer portal was simple to use as well. Many thanks to my loan originator, Quintin **, and to my loan processor, Misleidy **. They were quick to reply with questions and treated me like a valued customer.",5
Don,"Stuttgart, AR","Reviewed Aug. 3, 2020","They were easy to work with and found everything I was looking for, including low rates. I dealt with Hyme and the process was super easy. From start to finish, it took about a month. I'm very satisfied.",5
David,"Marion, NC","Reviewed Aug. 3, 2020","I started looking up interest rates back in January on the internet, and AmeriSave emailed me. Another ad popped up, and I clicked on it and checked it. I tried to check the interest rate, and then AmeriSave contacted me because I filled out the form to get the interest rate. It took about three months and I finally got refinanced, my home, my mortgage, and everything worked out good. I worked with Omar and he was out of Texas. I could contact him anytime, email or call him. He answered any question I had. So, he was good. My only complaint was the process took three months, but I know it's due to the Coronavirus that it took so long.",5
Timothy,"Charlotte, NC","Reviewed Aug. 3, 2020","Chad gave me a call and introduced himself. He took some basic information and I allowed him to run the credit. By doing so, that put me in what was available to me. He sent me an offer letter. At first, it wasn't the best offer. I had two more offers come in then I sent him a picture of the one I got from another company to show him I got offered a 2.5% interest. He was not able to give me a 2.5, but he said he was gonna work with me on the fee. The 2.5 was gonna cost me about $4,000, whereas going with AmeriSave would cost me much less than that. I was gonna have a final balance of 297 from the other companies, and through AmeriSave, I ended up with a 291 and a lower interest rate.",5
Leanne,"North Las Vegas, NV","Reviewed Aug. 2, 2020","I went on LendingTree, and AmeriSave happened to have the best rates. Their process was pretty easy. The lady that helped me was really good. I don't know how to upload stuff online and she was really good with helping me upload stuff. Emily was really good with helping me through the process. Everything was pretty straightforward.",5
Mark,"Toledo, WA","Reviewed Aug. 2, 2020","A bunch of people at my work said that AmeriSave was fast and easy. When I went through the process online, it took about three weeks. It was quick. Everything was pretty hassle free.",5
Sung,"Fairfax, VA","Reviewed Aug. 1, 2020","A superb experience in refi with AmeriSave. Working with Rami J. at AmeriSave was delightful, always feeling my best interests were being watched out for and expectations met or surpassed. I got great rate and terms, and the entire process was fairly easy and completed in about 30 days. Would highly recommend AmeriSave to others for their mortgage needs.",5
Stephanie,"Louisville, KY","Reviewed Aug. 1, 2020",Their rates were good and I have a friend who works there. I got a home loan and the process was very smooth. They were easy to work with. It was wonderful. The online application was easy to do and very user-friendly. They have great customer service. I was very satisfied.,5
Randall,"Menifee, CA","Reviewed Aug. 1, 2020","I talked to my financial advisor about what I should do to take care of the issue that I had concerning getting this money and without prompting that to the sales originator to talk to me, I told him what I wanted to do and he told me exactly the same thing what my financial advisors said. I had pretty high confidence that he was trying to sell me a loan that fit what I needed and not something that was just in the interest of AmeriSave. I thought that was pretty cool. ",5
Sarah,"San Rafael, CA","Reviewed July 31, 2020","The rates were incredible, and service was prompt, efficient, and thorough. My only complaint is that the web interface was not aesthetically modern - I recommend hiring a UI designer to update the website, and then the presentation will be complete!",5
Bryan,"Miami, FL","Reviewed July 31, 2020","Requested a quote for a mortgage refinance. Got a call from one of their agents, Joe, early the next morning. He basically read off similar numbers that I was presented online and moved directly into a very combative, hard sales act. He was so focused on closing the deal, I had a list of additional questions which he didn't even let me get through. Instead he hung up on me because I was ""wasting his time"". Excellent customer service guys.",1
Lucien,"Louisville, KY","Reviewed July 31, 2020",I needed to refinance my Condo. I looked at all the lenders available and AmeriSave was the first company that called me back. I filled out all the forms online which was fairly easy to do. The guy who was helping did a really good job making sure that I understood everything that was happening. Everything at AmeriSave was upfront. Things moved smoothly and my closing went on time.,5
Trevor,"Las Vegas, NV","Reviewed July 31, 2020","I tried some places locally including my bank I had previously and they were unwilling to do anything remotely close to resembling what I was seeing in the market. One of the other vendors that contacted us was incredibly pushy, very rude, and difficult to talk to on the phone. The people at AmeriSave were the complete opposite of that. They were easy to talk to. They would take time to answer questions. They answered the phone. They weren't rushing to push me through anything. They wanted me to be comfortable, look at stuff, and make sure I was understanding about what's going on. It was a nice process. Their rates have been lower through one of the refi.",5
Eric,"Brookhaven, GA","Reviewed July 31, 2020",I got a 30-year fixed loan program and everything went good. They gave me the best deal. They went out of their way to get my business and did everything they said they would.,5
Tam,"Van Nuys, CA","Reviewed July 30, 2020","I applied online on Amerisave.com to get a pre-approval letter. I got informed that AmeriSave only does soft inquiry on my credit report in order to get me pre-approved. I also double check with a Loan Originator (William **) before I hit submit button to confirm that would be a soft pull. I didn't provide any SSN number, but turns out AmeriSave did a hard inquiry on my credit report instead of soft inquiry. I called Equifax Mortgage Services which AmeriSave requests to pull my credit, and they told me AmeriSave requests them to hard pull my credit from all 3 bureaus on both mine and my wife credit report. I tried to contact William ** to resolve my issue and he could not do anything and told me to contact customer service. I called customer service and they transferred me back to William **. AmeriSave, this is a fraud. Please fix this issue.",1
Timothy,"Temecula, CA","Reviewed July 30, 2020","The place I normally use was shut down for getting in trouble a couple years ago. We had done a loan once before and had used AmeriSave. Only problem is apparently, this experience wasn't bad enough that I remembered it was a bad experience, because I ran inquiry a week after I started the process with them. I got a notice in the mail about a class action suit against AmeriSave.",1
Michael,"Royse City, TX","Reviewed July 30, 2020","We were refinancing a mortgage. We went with AmeriSave and everything was very good. It worked out all right. I took a little of the equity out to pay off some bills that we needed to get rid of and the payment didn't go up and the interest rate went down, so I was good with it. The hardest thing was I wasn't home and I happened to do stuff from out on the road with them. And where I'm at, the internet's really bad. So, it was either I had to go someplace to do it or wait in the weeks. But it took about six weeks altogether from start to finish. We closed in late July, and we started sometime in June. The timeframe wasn't bad. My consultant was Steve. He did a great job. He answered all of our questions and I had no problems at all. He was there pretty readily available when I needed him to answer something or to check something.",5
John,"Phoenix, AZ","Reviewed July 29, 2020",I was treated with respect and fairly throughout the refinancing process. It was a great experience. I will recommend AmeriSave to all of my friends and family. It was an excellent experience from beginning to end. I will use AmeriSave services again in the future.,5
Jeremy,"Newnan, GA","Reviewed July 29, 2020",Brad and Tamar were great to work with. Seamless process and closed on time. Brad was always available for questions I had. Shopped around and rate was as good or better than all. This is 3rd transaction with Brad and will def use in future.,5
Sandra,"Sevierville, TN","Reviewed July 29, 2020",The rep from AmeriSave was great and communicated well. We were surprised that the lady came out to the house on a Sunday to do the closing. We’re so used to going into an office.,5
Russel,"Columbus, OH","Reviewed July 29, 2020","I was looking at something on Facebook and saw that AmeriSave’s rates were good. I wound up speaking to a few people. I didn't know if it was quite what I wanted but after speaking with the rep from AmeriSave, I decided that it was what I wanted to do. He was very informative and helped me. We went with a 15-year program and so, we knocked years off our mortgage. We made a couple of changes and bought some points. We paid $4,000 to save $14,000 in monthly payments alone, so it saved us quite a bit of money. The process of getting the mortgage was great and I was happy with all aspects. The initial rep was fantastic. I also refinanced a rental property at the same time so that was a little bit of double processing but that was why I did it. The online application was excellent and I didn't have any problems with it at all. It was easy to do. ",5
J.,"Oh, OH","Reviewed July 28, 2020",I was searching for a loan to get to the VA. Nicholas and Boyd took the time to answer questions when we called them and worked with us to get the loan through. We got our mortgage and interest rate lowered. The process took a little longer than we expected but it went very well. Everybody that worked with us was very nice. Everything went the way it was supposed to with the loan.,5
Marsha,"Aiken, SC","Reviewed July 27, 2020","We heard about AmeriSave through a friend who refinanced. The rep was fantastic and he always got right back with me. He was honest and stayed on top of it but he wasn't pushy. The underwriting process was easy to understand. He told me what I needed ahead of time so, I went ahead and got it together, so it didn't seem like a lot when it came time to need it.",5
J.,"Ak, AK","Reviewed July 27, 2020","I saw what the markets were doing, so I wanted to refinance. I googled a bunch of different companies and went with AmeriSave. The online application process worked out great. It was really easy to use. They were pretty quick, but it's hard to contact them. I think they're pretty busy, so they're hard to get a hold of. I'm mostly playing phone tag. Also, AmeriSave's history bugs me. They did some shady stuff back in the day. After I had already started the process, I found a whole bunch of stuff where they're screwing people over back in like 2012.",3
Tammy,"Marietta, GA","Reviewed July 26, 2020",I was appreciative of the very quick response by AmeriSave to my request for refinance. Amerisave's website made it easy to send in information and directly connect with my bank. The Amerisave staff took the time to explain everything in detail and always quickly responded to any questions I had. They made the refinance of my home very quick and easy and I was given a much better interest rate than other banks could offer.,5
Shalene,"Chatham, LA","Reviewed July 26, 2020","I was researching some mortgage companies online and Amerisave had a good rating so I applied. It was a refinance of another property that we had and I was a little disappointed in how long it took. It was because it was a refinance on top of a property that had been my father's property and it had been in a reverse mortgage. The reverse mortgage kinda delayed things a little bit because it had gone into foreclosure, which had nothing to do with me, but it came up during the process. It did take longer than I thought it would take and it was a little more complicated than what I expected. ",5
Andy,"Winterville, NC","Reviewed July 26, 2020","I was looking for someone with the best possible interest rate and I did a Google search. I found AmeriSave and the rep, Chris, was awesome. I had another option with the same variables involved but I liked him. He stayed on the phone with me at 11 o'clock at night trying to walk me through the website application. Any time I called, answered or if he didn't, I would leave a message or text him. He would call me back within the hour. He was patient too. Overall, it was a good process. ",5
Ali,"Philadelphia, PA","Reviewed July 25, 2020","How the loan gets closed and transferred with new loan number is very poorly communicated. You are left high and dry right after the loan is closed. The guy who replies to your text message in the evening before the loan is closed, is nowhere to be found after closing. Just poor service. Embarrassing. Shameless.",1
Gwendelle,"Indianapolis, IN","Reviewed July 25, 2020","I was refinancing and AmeriSave’s rates and terms were good. I was pleased with that. The application and underwriting process was easy but it could’ve been easier. It was very frustrating that it took four months. The virus probably had something to do with it but it seemed like I had to repeat myself several times to some of the people who were involved. I kept having to go back to the guy who did the first application and then you had the underwriter. She’s the person who would call and ask questions about getting extra documents and getting payoffs. I'm not exactly sure where the disconnect was between us but it just seemed like I kept telling her the same stuff over and over, which delayed me.",4
Chinmaya,"South Lyon, MI","Reviewed July 25, 2020","The rates are low that's why I started my refinancing process. Then I was just shopping around and I came across AmeriSave, and then whatever I discussed with Jeremiah, who is the loan officer for me, sounded good. He described to me. He told me that they can do the price match with any other providers so that made me interested. However, I didn't like it when I got the processing fee. AmeriSave charged me $500 for that while other companies withheld it.",5
T.,"Co, CO","Reviewed July 24, 2020","I was in the market for a refinance to lower my rate and originally, I was looking at taking a cash-out refinance for my property. I was contacted by AmeriSave. I went with an IRRRL, and the overall experience is a pain. It wasn't necessarily on AmeriSave. It was just the whole processes that AmeriSave was required to go through with the cash-out and the appraiser, and there are some difficulties with the appraiser at that time and a bunch of confusion as far as to kinda whose court the ball was really in.",4
Francis,"Mokena, IL","Reviewed July 24, 2020","AmeriSave’s rep was the first one to call back and I’m very satisfied with the rates and terms of the mortgage. The process took about a month but that was excellent. I thought it was gonna be a little bit longer. The gentlemen I dealt with answered all my questions so I was happy with that. I'm not used to a lot of electronic stuff and that got worrisome but Gray, the loan originator did a very nice job holding my hand and walking me through it. I was impressed with his patience.",5
Randy,"Chugiak, AK","Reviewed July 23, 2020","Lucas **, the Loan Officer, made the whole process easy. Talked us through everything and made sure we provided the right data and documents. Processing was fine and the loan closed with ease. Overall the whole process was great. More than highly recommend AmeriSave.",5
Seyan,"Henderson, CO","Reviewed July 23, 2020",I enjoyed my experience with Amerisave. I was working with another lender who was not responsive to my questions and did not have a good rate for me. Amerisave gave me a really great rate and worked with me quickly through all my questions.,5
Tim,"Ponte Vedra Beach, FL","Reviewed July 23, 2020","The rep from AmeriSave was good and he was there when we needed him. But the company could improve on the time factor. It seemed it took forever for the person in this part of the country to talk to the person in that part of the country. There was very poor communication. The underwriting and the seller that originated it weren’t very good at all. Also, I had a home equity loan and they should've given me an option whether I wanted to keep it or not. They didn't and they closed it out. I didn't appreciate that because I can't get another one now. That was a safety net. They were supposed to notify me and they did not.",2
Rochelle,"Lynwood, IL","Reviewed July 23, 2020","AmeriSave's rep explained everything into details. Some people tell you some things but you got to ask questions. But she was detailed and went from one point to the next point. That was good. Also, the communication was very good all throughout. I'm very happy with the rates and terms.",5
Kaleb,"Sharpsburg, GA","Reviewed July 22, 2020","This is my third refinance with Amerisave. Excellent experience. Loan Originator Charles ** was phenomenal. Professional, timely and helpful. I could not have asked for a better refinance. When shopping for a home loan give AmeriSave a good look. Straight forward, great customer service, and competitive rates.",5
Vance,"Reno, NV","Reviewed July 22, 2020",Tim and Karen processed two loans for us in less than 30 days. They were amazing. This company is first class and a pleasure to work with. I would highly recommend them to anyone interested in a fast efficient mortgage broker.,5
Jonathan,"Camden, TN","Reviewed July 22, 2020",Everything about my home refi experience was Great. Got a lower rate than I expected. I checked with different companies before I found Amerisave. I am so glad I did. George ** was the first one I talked to about a home refi. He explained the process very professionally to me. Where I could understand. He told me that the process could take up to 60 days. We closed on the loan in around 40 days. Thanks again.,5
Rachel,"Severna Park, MD","Reviewed July 22, 2020","I recently refinanced and used Amerisave for a second time after the amazing experience I had with them when I refinanced about four years ago. They are so responsive, efficient, and accessible. I was able to close in less than 30 days. They also provided excellent advice on the loan terms that best met my financial situation and the current environment as I had recently retired. I highly recommend them to anyone who is wanting to refinance.",5
William (Bill),"Anaheim, CA","Reviewed July 22, 2020","I would highly recommend AmeriSave Mortgage for the best possible home loan experience. I have never been more pleased with a lender. Ask for Charles **, but I am positive all of AmeriSave representatives would do a 5 Star Plus for your loan needs. AmeriSave worked extra hard to find me the best loan possible for my needs. Everyone is an individual and I was treated with the best service and support ever.",5
Vincent,"Nashville, TN","Reviewed July 22, 2020","I was looking for a lower rate or payment during refinancing. One of my colleagues went with AmeriSave and he had a good experience. I got everything I needed. Frank, the field guy, was very responsive. I had two underwriters. The first underwriter seemed to be good at first. But I called every week and didn't get any information and updates in rates. He was leaving a voicemail and so that one was a bit stressful. He should have the ability to push the loan. Then fell off because he was no longer with the company. It caused a little stress. But at the end of the day, I got ahold of Frank's boss and he was able to assign a new underwriter. At that point, everything was closed up in a week. ",4
Richard,"Ponchatoula, LA","Reviewed July 22, 2020","I put a search in on the internet and it came up with a whole lot of different mortgage companies. I called several of them including AmeriSave. I talked to a guy named Ryan and he was awesome and outstanding. He put me at ease so I went with him. I have a firm that handles all my money and I had them look up AmeriSave. There was only one case that they found bad, in which could have happened to anybody. The whole experience was really good. It seemed that they rushed it ‘cause from the beginning to the end, it was really quick and I'm satisfied right now. Everything went well.",5
Harris,"Tucson, AZ","Reviewed July 21, 2020","I was with another provider before I went to AmeriSave and they dropped the ball and then I just went on to a different company. The big problem with AmeriSave was there were lots of delays and lots of repeat of the same items. It was I might have sent the same document four times to two or three different people. There was no communication between parties and AmeriSave, and everything was messed up because of delay after delay after delay. I was supposed to close on a certain date and it didn't happen. It took an extra month for me to close my house. Somebody said, “We didn't get notified.” It was a lack of cohesiveness between all the parties involved in the transaction. It was not the greatest thing, but finally, it went through. Other than that, it was fine. The application process was okay too.",4
Mary And Frank,"Lincoln, NE","Reviewed July 20, 2020","Sean **, loan officer, provided outstanding service. He was able to navigate us through an easy loan application and closure. He was friendly, knowledgeable, patient and understanding. We had been working with Quicken Loans who were requesting multiple form submission and a pushy loan officer who was more interested in the closure. Sean presented multiple loans that were available, suggested paying our tax escrow in advance which made receiving money at the time of closing possible for us, handled our stress throughout the loan process and connected us with Kristen **, processing lead, who was also amazing in making this the easiest loan we have closed in our 40+ years of marriage (7 mortgages). Sean ** receives our highest possible recommendation.",5
Theodore,"Sayreville, NJ","Reviewed July 20, 2020","I happened to get an email from AmeriSave and I looked into it. I did a refi because the rate's so much lower than when I got it. Everybody was great. Sean was in-charge and he was fantastic. Any questions I ever had, if I emailed him, he called me back 10 minutes later. If I didn't pick up 'cause I was in a meeting or something, he emailed me with any information or questions I had. He was dead on the money. There was another girl that was gathering the information and when she needed something, she would call me. On the day of the closing, the notary came over, filled out all the paperwork, and signed all the documents. Everything went as smooth as it could be.",5
Peter,"Swampscott, MA","Reviewed July 20, 2020","We looked into a mortgage for the lower rates and AmeriSave seemed to first appear to have that. We did a 30-year fixed program with them. However, it was almost like a bait-and-switch where they kept increasing the loan fee amounts. I was told at the beginning the rate wasn't locked in. But what seemed to appear to be happening was while the national rates were going down, they just kept trying to up the loan fee or the points on the loan so it cost me more than I expected originally. The application and underwriting process was good, however, it took two months which was a long time.",2
John,"Longmont, CO","Reviewed July 19, 2020","AmeriSave was working with The Money Source who was my previous mortgage broker. I went hunting around online and found it and did an inquiry. The guy who did the original stuff was great, very timely with his responses, and explained things in English. It went fantastic although it took longer than American Financing. But the fees were a lot lower. I had a great experience working with AmeriSave.",5
Harold,"Monument, CO","Reviewed July 18, 2020","I have refinanced with some other people before but AmeriSave happened to be one that caught our eye. AmeriSave was very responsive to my questions and kept me in the loop throughout the process. They had a lot of people who were refinancing homes. So, it took a little bit longer than what it normally would take, but that's understandable. ",5
Daniel,"Miami, FL","Reviewed July 18, 2020","I saw the online process then I spoke to several people and they were able to give me the rate that I wanted. I was a little nervous, but they had a website that I could go to and see all the stuff being uploaded to that, so it seemed like a pretty legitimate company, and a little research to make sure they were who they said they were. Throughout the whole process, it went pretty smoothly that was why I ended up going with AmeriSave ‘cause everything was pretty easy. The application and underwriting took about a month and a half. If only it would be a little faster, but that was fine. We're in some difficult times.",5
Michael,"Coxs Creek, KY","Reviewed July 17, 2020",AmeriSave was the first lender I went through with the best rate. The process took about 15 days and they were very good and helpful.,5
Carmen,"Las Vegas, NV","Reviewed July 16, 2020","I was refinancing the mortgage balance on another company. I was looking online and AmeriSave was the most convenient for me because of the very competitive interest rate. The application process for me was wonderful. The person that did my mortgage always answered the questions, was very professional, provided me with the complete information I was looking for and was very effective. He knew everything about mortgages, and can answer my questions about regular mortgages, APR and the points, and all of the questions regarding the closing disclosure and how to come out with the different numbers and all those kinds of questions regarding mortgage itself. We did it very fast. By law, we had to wait certain days after the underwriter. And then after the title, I had to wait three days, and then three more days after the title was signed. But we did it in three weeks. I'm very happy with the whole process.",5
Y.,"Va, VA","Reviewed July 16, 2020","I had a good experience with Amerisave. The loan officer and the processor were great. They kept in touch with me, answered all my questions, and walked me through from start to finish. The process took about 30 days and I got a little bit of extra income back in my pocket.",5
Weishi,"Windsor, CT","Reviewed July 15, 2020","He was very helpful and act quickly to make sure the loan meet the target date. He responded very timely and professionally. He explained the term very clearly. Once he knew we had a problem for the loan, he asked the underwriting manager to get involved and fixed the problem in a timely manner. I would strongly recommend to my friends.",5
Bedia,"San Antonio, TX","Reviewed July 15, 2020","Excellent customer service from my loan officer to the loan processor. Everyone was so professional and kept me informed every step of the way. I am going to save so much money after refinancing my mortgage. I definitely recommend them, you won’t be disappointed.",5
Peggy,"Prattville, AL","Reviewed July 15, 2020",I refinanced with no issues. Service and Originator were great. Took less than 30 days. Would recommend to others. I was leery to use online application but everything went great. I am glad that I used AmeriSave. My rate was explained to me within 15 minutes and it did not change through the process. I went from 30 year to 15 year and my payment is lower.,5
Jeff,"Conway, AR","Reviewed July 15, 2020",Very easy process for refinance which will save me several thousand dollars. Went from 17 years left on my loan to 15 years at lower rate so was shortened by two years and my payment actually went down. Would do again!,5
John,"Huntsville, AL","Reviewed July 15, 2020",Took a little longer than I thought it would but all came out ok and we got a great rate. Appreciate what AmeriSave Mortgage did for us. Would absolutely requirement this company to anyone looking to finance or refinance a home. Thanks for all your help.,5
Vanessa,"Riverside, CA","Reviewed July 15, 2020","I don't understand how in today's time of technology, you don't have an online payment access and how you can charge $9.50 to make a payment by phone. Who writes checks anymore? I had to search for a stamp. But I prefer to control my payments and don't want to set up ACH.",2
Jorge,"Philadelphia, PA","Reviewed July 15, 2020","I was referred to AmeriSave. I like their customer service and I decided to go with them. If I had a question, they addressed it immediately. They were really professional. They always made sure that I was understanding the process and I felt really comfortable doing everything online.",5
Robert,"Moseley, VA","Reviewed July 14, 2020","This is my second loan with Amerisave, their online tools are easy to use, their staff responds to questions, and the closing was at my dining room table, best of all the rates and closing costs were better than anyone else. Only complaint is the time from the start of the process to the closing, 2 months.",5
